Erythrocytic cycle number,Relative percentage,Line
-1,100,+RAP
-1,100,+RAP
-1,100,+RAP
-1,100,+RAP
-1,100,+RAP
-1,100,+RAP
-1,100,+RAP
0,108,+RAP
0,112.5,+RAP
0,95.55,+RAP
0,89.47369,+RAP
0,120,+RAP
0,124.1379,+RAP
0,125,+RAP
1,67.08861,+RAP
1,82.53968,+RAP
1,88.75,+RAP
1,89.47369,+RAP
1,80.95238,+RAP
1,86.8421,+RAP
1,68.78981,+RAP
2,25.26965,+RAP
2,31.43631,+RAP
2,55.18,+RAP
2,30.24283,+RAP
2,35.49784,+RAP
2,52.63158,+RAP
2,35.74632,+RAP
3,10.96154,+RAP
3,8.292683,+RAP
3,23.04,+RAP
3,6.622517,+RAP
3,8.637874,+RAP
3,16.98113,+RAP
3,21.51515,+RAP
-1,100,+RAP+gdpd
-1,100,+RAP+gdpd
-1,100,+RAP+gdpd
-1,100,+RAP+gdpd
0,78.94736,+RAP+gdpd
0,90.32258,+RAP+gdpd
0,88.88889,+RAP+gdpd
0,120,+RAP+gdpd
1,97.4026,+RAP+gdpd
1,101.7857,+RAP+gdpd
1,83.67347,+RAP+gdpd
1,86.56716,+RAP+gdpd
2,97.58865,+RAP+gdpd
2,82.45399,+RAP+gdpd
2,69.40451745,+RAP+gdpd
2,85.25799,+RAP+gdpd
3,109.8551,+RAP+gdpd
3,82.71186,+RAP+gdpd
3,81.33803,+RAP+gdpd
3,97.97571,+RAP+gdpd
-1,100,+RAP+gdpd(H29A)
-1,100,+RAP+gdpd(H29A)
-1,100,+RAP+gdpd(H29A)
0,84.21053,+RAP+gdpd(H29A)
0,108.3333,+RAP+gdpd(H29A)
0,119.0476,+RAP+gdpd(H29A)
1,73.11828,+RAP+gdpd(H29A)
1,79.31035,+RAP+gdpd(H29A)
1,83.60656,+RAP+gdpd(H29A)
2,50.13699,+RAP+gdpd(H29A)
2,40.74803,+RAP+gdpd(H29A)
2,28.42857,+RAP+gdpd(H29A)
3,23.31081,+RAP+gdpd(H29A)
3,10.37234,+RAP+gdpd(H29A)
3,11.76471,+RAP+gdpd(H29A)
-1,100,+RAP+gdpd(H78A)
-1,100,+RAP+gdpd(H78A)
-1,100,+RAP+gdpd(H78A)
0,82.35294,+RAP+gdpd(H78A)
0,128,+RAP+gdpd(H78A)
0,106.6667,+RAP+gdpd(H78A)
1,69.23077,+RAP+gdpd(H78A)
1,80.5,+RAP+gdpd(H78A)
1,68.91892,+RAP+gdpd(H78A)
2,31.8797,+RAP+gdpd(H78A)
2,47.43105,+RAP+gdpd(H78A)
2,24.0458,+RAP+gdpd(H78A)
3,12.53918,+RAP+gdpd(H78A)
3,47.5,+RAP+gdpd(H78A)
3,8.035714,+RAP+gdpd(H78A)
-1,100,+RAP+gdpd(E283A)
-1,100,+RAP+gdpd(E283A)
-1,100,+RAP+gdpd(E283A)
0,105.8824,+RAP+gdpd(E283A)
0,129.4118,+RAP+gdpd(E283A)
0,107.6923,+RAP+gdpd(E283A)
1,61.61616,+RAP+gdpd(E283A)
1,86.04651,+RAP+gdpd(E283A)
1,74.02597,+RAP+gdpd(E283A)
2,42.57703,+RAP+gdpd(E283A)
2,23.82022,+RAP+gdpd(E283A)
2,34.27419,+RAP+gdpd(E283A)
3,21.17117,+RAP+gdpd(E283A)
3,10.94527,+RAP+gdpd(E283A)
3,11.52542,+RAP+gdpd(E283A)
