Group,Batch,species,peakarea,logpeakarea,Class
DMSO,1,BMP(18:1_22:5),19194569.37,24.19419486,BMP
DMSO,1,Cer-NS(d18:1/22:0),25885055.22,24.62561606,Cer-NS
DMSO,1,Cer-NS(d18:1/24:0),96031156.91,26.51699922,Cer-NS
DMSO,1,Cer-NS(d18:1/24:1),93656582.13,26.48087705,Cer-NS
DMSO,1,DG(14:0_18:1),199763999.2,27.57372137,DG
DMSO,1,DG(14:0_18:2),13835588.5,23.72188067,DG
DMSO,1,DG(15:0_16:0),2351200.491,21.16496613,DG
DMSO,1,DG(15:0_18:1),115991893.5,26.78944874,DG
DMSO,1,DG(16:0_16:0),615771828.6,29.19782062,DG
DMSO,1,DG(16:0_18:0),184598640,27.45981668,DG
DMSO,1,DG(16:0_18:1),4573568041,32.09067297,DG
DMSO,1,DG(16:0_18:2),1434671842,30.41807363,DG
DMSO,1,DG(16:0_18:3),127315158.1,26.92382896,DG
DMSO,1,DG(16:0_20:5),45590071.95,25.44221635,DG
DMSO,1,DG(17:0_18:1),378542380.3,28.49587959,DG
DMSO,1,DG(17:1_18:1),164045926.2,27.28952453,DG
DMSO,1,DG(17:1_18:2),13575795.69,23.69453342,DG
DMSO,1,DG(18:0_18:0),118746596,26.82331092,DG
DMSO,1,DG(18:0_18:1),3554298075,31.72691753,DG
DMSO,1,DG(18:0_20:4),142256349.4,27.08391781,DG
DMSO,1,DG(18:0_22:5),188221289.5,27.48785458,DG
DMSO,1,DG(18:1_18:1),5901987528,32.45855373,DG
DMSO,1,DG(18:1_18:2),2799628073,31.38258803,DG
DMSO,1,DG(18:1_18:3),781573840.3,29.54180694,DG
DMSO,1,DG(18:1_20:0),26546969.63,24.66204385,DG
DMSO,1,DG(18:1_20:3),458219495.5,28.7714636,DG
DMSO,1,DG(18:1_20:4),1005876017,29.90580535,DG
DMSO,1,DG(18:1_20:5),175536421.7,27.38719516,DG
DMSO,1,DG(18:1_22:5),380446204.9,28.50311723,DG
DMSO,1,DG(18:1_22:6),57931071.41,25.78783401,DG
DMSO,1,DG(18:2_18:3),60388822.72,25.84777821,DG
DMSO,1,HBMP(16:0_18:1_14:0),15172668.3,23.85497149,HBMP
DMSO,1,HBMP(16:0_18:1_16:0),387751420,28.53055682,HBMP
DMSO,1,HBMP(16:0_18:2_16:0),103424996.9,26.62400967,HBMP
