T44B4min,T44B4plus,T72B4min,T72B4plus
129.761,144.884,97.645,69.385
157.24,127.354,77.186,74.096
138.008,125.528,80.056,69.76
154.882,118.6,83.687,70.086
131.253,128.162,82.641,77.459
162.813,116.77,80.142,71.542
169.438,112.439,86.587,74.996
151.533,119.57,81.539,68.759
121.577,117.317,83.2,66.801
115.145,116.09,80.128,67.49
132.793,124.333,82.768,69.095
142.778,120.22,73.936,82.529
140.874,139.512,85.556,78.34
132.782,109.486,78.869,74.095
142.831,142.32,81.006,71.655
167.965,122.12,104.146,67.046
140.981,132.523,93.394,71.033
133.505,107.922,89.042,80.369
121.627,109.252,109.817,69.312
142.33,133.158,77.488,68.164
137.333,129.012,73.645,68.466
142.533,125.708,88.95,70.243
165.356,163.102,102.119,69.115
121.146,121.234,85.541,76.341
148.114,139.076,80.226,74.181
133.301,152.603,82.526,74.668
117.921,145.303,92.814,73.791
139.278,112.548,81.848,69.134
123.869,133.267,83.374,68.805
131.11,152.064,75.307,69.994
138.691,117.185,87.555,68.791
140.795,108.029,95,71.495
147.695,101.463,93.648,74.132
149.435,118.888,77.497,70.327
160.582,113.093,80.118,73.296
135.807,100.333,76.025,73.899
160.626,116.38,81.152,71.019
115.397,119.706,73.323,67.84
153.182,101.56,70.782,67.032
125.435,109.066,78.284,68.96
141.956,103.482,96.62,71.873
129.351,109.13,92.836,83.638
153.778,115.385,89.296,73.106
134.145,126.466,102.272,73.586
135.161,118.187,89.086,70.618
132.578,99.687,86.541,73.999
150.74,118.267,82.326,69.255
113.659,118.041,81.03,68
149.591,159.484,75.961,68.639
143.45,123.436,86.019,69.377
148.775,151.178,,
137.89,100.208,,
,134.305,,
