Sample,Incubation time,GPC,Choline
Blank,NA,2445,1020863
B4-,5,281800352,402709248
B4-,15,149335488,809017984
B4-,30,57391396,939935872
B4-,240,622648,1149297664
G1,5,491756544,3110740
G1,15,489162080,2752591
G1,30,477942880,3329056
G1,240,446896352,5930654
B4+,5,506161664,6225282
B4+,15,481109792,9859000
B4+,30,447484416,17163510
B4+,240,427637568,90124704
w/o protein,30,629616064,3512919
w/o protein,240,620834368,7119952
w/o GPC,30,8951,546607
w/o GPC,240,11563,957857
Standard,NA,159293229,486345766
